이름,주소,성함,연락처,회신 여부,선택
에이스공인중개사사무소,"경기도 성남시 중원구 상대원1동 190-1 테크동 비205(상대원동,에스케이엔테크노파크)",김영례,010-9062-2553,No,
복덩이 부동산,경기도 성남시 중원구 상대원3동 2290,권정순,010-8750-7466,No,
공단제일공인중개사사무소,"경기도 성남시 중원구 상대원동 442-13 103호(상대원동,중일아인스프라츠)",이용덕,010-9991-6924,No,
연세공인중개사사무소,경기도 성남시 중원구 성남동 2527,이봉영,010-6414-9954,No,
태림공인중개사사무소,경기도 성남시 중원구 하대원동 147-2,강봉원,010-3778-4435,No,
스타부동산공인중개사사무소,경기 성남시 중원구 상대원동5439-1 113호 일부,김서정,010-2472-0104,No,
하이서울공인중개사사무소,경기도 성남시 중원구 하대원동 131-31,박승환,010-6345-5236,No,
동원공인중개사사무소,경기도 성남시 분당구 동원동 57-23 103호,한상운,010-9715-0095,No,
엔즈빌공인중개사사무소,경기 성남시 분당구 야탑동 342-3 엔즈빌오피스텔 106호,김재우,,No,
서판교역제1공인중개사사무소,경기 성남시 분당구 운중동963 111호,이형배,,No,
삼성공인중개사사무소,경기도 성남시 수정구 고등동 592 호반써밋판교밸리아파트 상가 226동 111호,석정주,010-8667-2702,No,
삼성플러스공인중개사,"경기 성남시 분당구 산운로160번길 22,101호",심지영,010-2594-9799,No,
문화공인중개사사무소,경기 성남시 분당구 이매동 141번지 아름마을풍림상가 102-1호,박경희,010-9041-3423,No,
고등호반공인중개사사무소,"경기 성남시 수정구 고등로 3,현대지식산업센터 성남고등 B113호",정효진,010-8255-7887,No,
조은영공인중개사사무소,경기도 성남시 수정구 창업로 17 판교아이스퀘어 오피스텔 Ｆ동８３０호,조은영,010-4668-8947,No,
금메달부동산공인중개사사무소,"경기도 성남시 수정구 고등로 34 (고등동, 호반써밋 판교밸리)",황시연,010-9592-7787,No,
호반제일공인중개사사무소,"경기도 성남시 수정구 고등로 34 상가226동 105호 (고등동, 호반써밋 판교밸리)",이희숙,010-2427-1905,No,
제일풍경채단지내공인중개사사무소,경기 성남시 수정구 고등동590 제일풍경채상가 121호,김연숙,010-2827-9854,No,
남서울부동산중개법인주식회사,"서울 강남구 수서동713 116-6호(수서동, 현대벤처빌)",최서희,010-8771-5016,No,
송림공인중개사사무소,경기도 성남시 분당구 동원동 40-1,정용채,010-5309-4166,No,
말죽거리공인중개사,서울특별시 서초구 강남대로8길 68 (양재동),박병욱,-,No,
한스공인중개사사무소,경기도 성남시 수정구 상적동 221-4,한동명,010-2631-7812,No,
대명공인중개사사무소,서울특별시 서초구 양재동 327-8,조용희,010-2531-8289,No,
석사공인중개사사무소,경기도 성남시 시흥동 161-8,서기원,010-2002-6685,No,
원주민공인중개사사무소,경기 성남시 수정구 오야동225-5,김정호,010-5305-9017,No,
고등일번지공인중개사사무소,경기 성남시 수정구 고등동580-8 101호,정혜영,-,No,
자곡공인중개사사무소,서울 강남구 세곡동99-8 16호,우상선,010-3029-4953,No,
시계공인중개사사무소,경기도 성남시 분당구 야탑동 537-4 우당프라자 지하1층 일부,이혜수,010-3279-9663,No,
평화공인중개사사무소,서울특별시 송파구 가락동 17-3 1층,서병소,010-9162-8942,No,
다산백두산공인중개사사무소,"경기 남양주시 다산동6234 B12호(다산동, 다산반도유보라 메이플)",장태수,010-4374-1898,No,
골드공인중개사사무소,경기 성남시 분당구 운중동973-5 골드공인 중개사,황경선,010-9187-3377,No,
주식회사 씨와이부동산중개법인,서울특별시 서초구 방배동 935-1 1층 104호,최종옥,010-8674-4904,No,
로웰공인중개사사무소,"서울특별시 강남구 역삼동 755 2층 217호(역삼동,한솔필리아)",송준혁,010-8272-1720,No,
에이스공인중개사사무소,경기도 성남시 중원구 성남동 2487번지 세종그라시아 105호,양지훈,010-2462-2600,No,
트라이부동산공인중개사사무소,경기도 성남시 중원구 금광동 1347 1층,정명숙,010-5249-4230,No,
SKN공인중개사사무소,경기 성남시 중원구 상대원동190-1 SKN테크노파크 메가동 B205호,손승미,010-6742-0011,No,
SK키움공인중개사사무소,경기도 성남시 중원구 상대원1동 190-1,김방수,010-7322-0009,No,
썬테크공인중개사사무소,경기 성남시 중원구 상대원동513-15 선텍시티1차 b105호,김경돈,010-4006-8074,No,
봄날부동산공인중개사사무소,경기 성남시 중원구 사기막골로62번길 33 (상대원동) RB111호,권형민,010-7152-2250,No,
성남아파트형공장탑 공인중개사사무소,경기 성남시 중원구 상대원동513-15 선텍시티1 지1층 비104호,주성순,010-3293-6775,No,
성남지산마스터부동산중개사무소,경기 성남시 중원구 사기막골로62번길 33 RB111호 성남센터엠지식산업센터,최영란,010-9078-3673,No,
신동아공인중개사사무소,서울특별시 송파구 마천로 33길 3 1층(마천동),임선미,010-4411-4744,No,
공장114공인중개사사무소(주),경기 성남시 중원구 상대원동513-22 중일아인스프라츠 101-1호,최의교,010-2797-3605,No,
(주)공장리더스부동산중개법인,경기 성남시 중원구 상대원동311-3 105호,양유선,010-9266-1446,No,
우리공인중개사사무소,경기도 성남시 중원구 성남동 3966,류재선,010-7565-4959,No,
금빛공인중개사사무소,경기도 성남시 중원구 성남동 3329번지 1층,오은희,010-4753-4223,No,
센트럴푸르지오공인중개사사무소,경기도 성남시 중원구 성남동 2251,전효진,010-2753-0640,No,
두산공인중개사사무소,경기도 성남시 중원구 은행2동 1700,이재순,010-5348-2508,No,
중원공인중개사사무소,경기도 성남시 중원구 하대원동 146-7호,이종철,010-2248-6970,No,
명문부동산공인중개사사무소,서울특별시 강남구 역삼2동 777-40,조득원,010-8695-9922,No,
